File,Reading No,ID,AQ,Long,Latitude,Mn_K,Co_K,Ni_K,Zn_K,Mn,Co,Ni,Zn,xcoord,ycoord,density1,SoilType1
XL3-86715-richard,"4127",XL3-86715-richard-4127,"343164",145.917508499999997,-17.248596249999999,"0","0","0","0",Normal,Normal,Normal,Normal,1023273.69742252,8086273.49535073,3,"5"
XL3-86715-richard,"4041",XL3-86715-richard-4041,"344963",146.250843000000003,-18.915255330000001,"518","0","0","0",Normal,Normal,Normal,Normal,1053546.08676941,7900310.53465571,3,"9"
XL3-86715-richard,"3593",XL3-86715-richard-3593,"347642",142.042545200000006,-14.690283040000001,"725","0","0","0",Normal,Normal,Normal,Normal,612246.525561037,8375670.62071917,1,"9"
XL3-86715-richard,"3583",XL3-86715-richard-3583,"347930",143.492530399999993,-15.023611860000001,"121","0","0","0",Normal,Normal,Normal,Normal,768009.882265533,8337550.60260841,2,"7"
XL3-86715-richard,"3912",XL3-86715-richard-3912,"349690",146.142509600000011,-18.490257249999999,"990","0","0","0",Normal,Normal,Normal,Normal,1043462.29367298,7947823.37682252,3,"8"
XL3-86715-richard,"2725",XL3-86715-richard-2725,"362628",138.751199000000014,-19.081833660000001,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,263381.787790995,7888599.19479339,2,"11"
XL3-86715-richard,"3385",XL3-86715-richard-3385,"363509",152.917452400000002,-26.081875849999999,"371","0","0","163",Normal,Normal,Normal,Normal,1697160.6480053,7059981.97927889,3,"9"
XL3-86715-richard,"3598",XL3-86715-richard-3598,"363510",145.209180000000003,-15.956937099999999,"510","0","0","0",Normal,Normal,Normal,Normal,950789.709245856,8231269.9124269,3,"3"
XL3-86715-richard,"3318",XL3-86715-richard-3318,"363774",145.359178500000013,-16.073602879999999,"0","0","0","97",Normal,Normal,Normal,Normal,966608.048391666,8218001.65478345,3,"3"
XL3-86715-richard,"4155",XL3-86715-richard-4155,"368273",145.750844699999988,-17.581928619999999,"430","0","0","0",Normal,Normal,Normal,Normal,1004584.67780053,8049737.745615,3,"5"
XL3-86715-richard,"3350",XL3-86715-richard-3350,"368287",145.725844400000000,-17.373596220000000,"3128","0","0","0",Accumulator,Normal,Normal,Normal,1002498.30786226,8072917.03251669,4,"5"
XL3-86715-richard,"3293",XL3-86715-richard-3293,"368294",145.750844199999989,-17.415262649999999,"418","0","0","0",Normal,Normal,Normal,Normal,1005046.71114703,8068228.4569197,4,"5"
XL3-86715-richard,"3926",XL3-86715-richard-3926,"369070",152.959117300000003,-25.873542799999999,"0","0","0","0",Normal,Normal,Normal,Normal,1703553.47354312,7082973.66068408,3,"9"
XL3-86715-richard,"2729",XL3-86715-richard-2729,"369906",139.917849200000006,-18.248494730000001,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,385596.705699876,7981983.27724057,2,"1"
XL3-86715-richard,"3911",XL3-86715-richard-3911,"370124",146.125843000000003,-18.473590690000002,"788","0","0","0",Normal,Normal,Normal,Normal,1041749.77868334,7949723.64095371,3,"8"
XL3-86715-richard,"3459",XL3-86715-richard-3459,"377020",145.592511900000005,-17.106931029999998,"191","0","0","0",Normal,Normal,Normal,Normal,988999.79365125,8102841.9967353,4,"3"
XL3-86715-richard,"3573",XL3-86715-richard-3573,"377122",145.352499999999992,-15.906111109999999,"0","0","0","0",Normal,Normal,Normal,Normal,966281.419555506,8236589.47562169,3,"9"
XL3-86715-richard,"3574",XL3-86715-richard-3574,"377122",145.352499999999992,-15.906111109999999,"0","0","0","0",Normal,Normal,Normal,Normal,966281.419555506,8236589.47562169,3,"9"
XL3-86715-richard,"3195",XL3-86715-richard-3195,"377282",153.153572400000002,-28.242704410000002,"0","0","0","127",Normal,Normal,Normal,Normal,1697252.74573322,6815235.02855796,3,"5"
XL3-86715-richard,"3770",XL3-86715-richard-3770,"379574",153.142459300000013,-27.890204929999999,"241","0","0","0",Normal,Normal,Normal,Normal,1700152.35962504,6854888.03008019,3,"4"
XL3-86715-richard,"3539",XL3-86715-richard-3539,"380207",142.459201600000000,-10.923635140000000,"0","0","0","0",Normal,Normal,Normal,Normal,659465.789971561,8792079.37710958,2,"8"
XL3-86715-richard,"3427",XL3-86715-richard-3427,"381609",145.592511900000005,-17.106931029999998,"185","0","0","0",Normal,Normal,Normal,Normal,988999.79365125,8102841.9967353,4,"3"
XL3-86715-richard,"3584",XL3-86715-richard-3584,"381610",141.775878699999993,-13.373622839999999,"0","0","0","0",Normal,Normal,Normal,Normal,584012.011210359,8521414.5602713,2,"9"
XL3-86715-richard,"3605",XL3-86715-richard-3605,"381862",143.409195600000004,-13.873617540000000,"287","0","0","0",Normal,Normal,Normal,Normal,760380.831808185,8464937.69420648,3,"8"
XL3-86715-richard,"3582",XL3-86715-richard-3582,"381890",142.309202499999998,-10.590304290000001,"402","0","0","0",Normal,Normal,Normal,Normal,643227.882417579,8829019.4312697,2,"8"
XL3-86715-richard,"3483",XL3-86715-richard-3483,"383445",145.809180499999997,-18.590257860000001,"0","0","0","0",Normal,Normal,Normal,Normal,1007870.18241056,7937702.31990913,3,"3"
XL3-86715-richard,"3484",XL3-86715-richard-3484,"383446",146.250841400000013,-18.415257220000001,"0","0","0","0",Normal,Normal,Normal,Normal,1055178.59984539,7955818.6240874,3,"3"
XL3-86715-richard,"3767",XL3-86715-richard-3767,"383710",152.917460199999994,-27.415207030000001,"281","0","0","0",Normal,Normal,Normal,Normal,1682949.64318214,6910391.52300659,3,"3"
XL3-86715-richard,"3383",XL3-86715-richard-3383,"383711",153.258333300000004,-24.708333329999999,"0","0","0","0",Normal,Normal,Normal,Normal,1746103.92040342,7211050.14756256,2,"10"
XL3-86715-richard,"3606",XL3-86715-richard-3606,"383753",145.259177899999997,-15.323606699999999,"883","0","0","0",Normal,Normal,Normal,Normal,957562.623750638,8301380.73751066,3,"9"
XL3-86715-richard,"3993",XL3-86715-richard-3993,"383809",153.545833299999998,-27.436111109999999,"0","0","0","0",Normal,Normal,Normal,Normal,1745644.38731218,6901760.5671768,3,"10"
XL3-86715-richard,"3900",XL3-86715-richard-3900,"383810",153.084118999999987,-26.581873739999999,"0","0","0","0",Normal,Normal,Normal,Normal,1708723.92724047,7002274.55284405,3,"9"
XL3-86715-richard,"3707",XL3-86715-richard-3707,"383812",152.917458900000014,-27.248540299999998,"1311","0","0","0",Accumulator,Normal,Normal,Normal,1684761.30943707,6929085.09507254,3,"3"
XL3-86715-richard,"2766",XL3-86715-richard-2766,"384521",145.892787800000008,-19.723459880000000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1013184.00112199,7811712.70603849,2,"1"
XL3-86715-richard,"4058",XL3-86715-richard-4058,"384835",148.542489100000012,-21.073573620000001,"534","0","0","0",Normal,Normal,Normal,Normal,1285190.04576816,7651051.80289511,3,"3"
XL3-86715-richard,"3901",XL3-86715-richard-3901,"384988",153.258333300000004,-24.708333329999999,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1746103.92040342,7211050.14756256,2,"10"
XL3-86715-richard,"3904",XL3-86715-richard-3904,"386693",146.259174300000012,-18.340257489999999,"266","0","0","0",Normal,Normal,Normal,Normal,1056303.29291049,7964119.23049382,3,"3"
XL3-86715-richard,"3908",XL3-86715-richard-3908,"386694",146.259174300000012,-18.340257489999999,"432","0","0","0",Normal,Normal,Normal,Normal,1056303.29291049,7964119.23049382,3,"3"
XL3-86715-richard,"3490",XL3-86715-richard-3490,"386841",146.259174300000012,-18.340257489999999,"638","0","0","347",Normal,Normal,Normal,Accumulator,1056303.29291049,7964119.23049382,3,"3"
XL3-86715-richard,"3905",XL3-86715-richard-3905,"386842",146.259174300000012,-18.340257489999999,"589","0","0","0",Normal,Normal,Normal,Normal,1056303.29291049,7964119.23049382,3,"3"
XL3-86715-richard,"3909",XL3-86715-richard-3909,"386843",146.259174300000012,-18.340257489999999,"195","0","0","0",Normal,Normal,Normal,Normal,1056303.29291049,7964119.23049382,3,"3"
XL3-86715-richard,"3491",XL3-86715-richard-3491,"386844",146.275840899999992,-18.356924039999999,"355","0","0","0",Normal,Normal,Normal,Normal,1058016.48082032,7962217.65405926,3,"3"
XL3-86715-richard,"3581",XL3-86715-richard-3581,"386972",142.475867999999991,-10.806969160000000,"0","0","0","0",Normal,Normal,Normal,Normal,661350.185560236,8804974.23475027,2,"8"
